month,bse_share_idxopt_notional,bse_share_idxopt_prem
2022-04-01,0.014882754289320422,
2022-05-01,0.0013715975890177042,
2022-06-01,0.017747426920884317,
2022-07-01,0.021860225070430266,
2022-08-01,0.017020970491661652,
2022-09-01,0.014390056981813651,
2022-10-01,0.01395672876953205,
2022-11-01,0.014398399656612906,
2022-12-01,0.009873229817015864,
2023-01-01,0.00047844348696231135,
2023-02-01,0.00034303911796108866,
2023-03-01,0.00023525822844113107,
2023-04-01,1.8457050272973931e-09,5.163624396581591e-09
2023-05-01,4.0127188869499796e-05,2.390721750075702e-05
2023-06-01,0.003912353995971221,0.0015500466330830903
2023-07-01,0.014410620704933146,0.004921003439298834
2023-08-01,0.03410568425209295,0.011503824351709213
2023-09-01,0.07490651381173649,0.025103221128572502
2023-10-01,0.09454377988354892,0.0364346049717982
2023-11-01,0.1027669457126011,0.0410525430930168
2023-12-01,0.16045740824924798,0.06121320575634786
2024-01-01,0.1266437592941991,0.05108417872544067
2024-02-01,0.15517959905411652,0.06709577255872547
2024-03-01,0.17632078889057892,0.07996912594839306
2024-04-01,0.19332609091598044,0.0976608798153096
2024-05-01,0.2349914940531134,0.1100410132336748
2024-06-01,0.2221481696296837,0.09752453029960752
2024-07-01,0.2363542103037068,0.11135782100016153
2024-08-01,0.2509894612540042,0.11605942822464255
2024-09-01,0.2712994451837006,0.1499903647121124
2024-10-01,0.23501810979912738,0.12695189549107858
2024-11-01,0.24537828461103048,0.13149095689908577
2024-12-01,0.2985584364152686,0.16375368621716416
2025-01-01,0.3652850494764274,0.20344170261984318
2025-02-01,0.3667082751217189,0.2205470003299963
2025-03-01,0.37153727964358874,0.21864140071077903
2025-04-01,0.38316369843557935,0.23602468275885166
2025-05-01,0.37211954934434005,0.23505683699528698
2025-06-01,0.37754393031153205,0.24932218758227767
2025-07-01,0.4040327044310291,0.2503108474845149
2025-08-01,0.4347279166694545,0.29268227618784437
2025-09-01,0.3860614298736677,0.270584127894626
2025-10-01,0.44198972831429434,0.29236485684057356
2025-11-01,0.4402135594766739,0.28449496307929867
2025-12-01,0.43072324785337723,0.30364364530235477
2026-01-01,0.490242761687154,0.33287080558694476
2026-02-01,0.44096855608324836,0.2929812118396298
2026-03-01,0.4413619828731664,0.2787174581503935
