var,n,mean,sd,p25,med,p75,pre_mean,post_mean
Index options ADT (premium),36,64055.71698739499,13993.277908549717,55541.59040644439,62159.58035546328,67284.55397258594,61945.19785931481,66414.53248348461
Index options ADT (notional),48,34068126.9548708,13776943.608779067,23733094.58810758,34671219.68614943,45682867.506370425,30360874.004050814,40828411.747542545
Stock options ADT (premium),36,6902.448332091157,1710.4722019264275,5984.0355617539,6966.596989634525,8219.55576856327,6634.817195313078,7201.565484960775
Stock options ADT (notional),48,408066.7003907424,128032.32341004364,273406.1317375917,460454.3404223067,497164.2684331934,361267.8502109925,493405.7801302863
Index futures ADT,48,33560.953400442304,6387.1999505629965,28182.070061461905,33889.9881569114,38129.35401803882,35110.19782968256,30735.860617710066
Stock futures ADT,48,115348.31443698176,32850.832609335775,81354.37324781959,123437.31427147257,139423.41288207215,107207.44799699819,130193.42382754007
Cash market ADT,48,95034.66409630627,30144.234266097665,66128.74852272728,102450.98248283754,115376.36253246755,86333.56556711189,110901.37317895489
