month,rel,coef
2023-04,-18,0.6629069576377411
2023-05,-17,0.4273615810654512
2023-06,-16,0.18984149427638108
2023-07,-15,0.20761768966631067
2023-08,-14,0.2303064642272652
2023-09,-13,0.1900166617477943
2023-10,-12,0.28347944972541406
2023-11,-11,0.09020625636206603
2023-12,-10,-0.22047376221930115
2024-01,-9,-0.022079624793624575
2024-02,-8,0.02891317376107949
2024-03,-7,0.0606946867152196
2024-04,-6,-0.16675091673375064
2024-05,-5,-0.1631053472311681
2024-06,-4,-0.056539759669412604
2024-07,-3,-0.19912433600755897
2024-08,-2,-0.06770113978456926
2024-09,-1,-0.17194701734942264
2024-10,0,0.0
2024-11,1,0.022659058437783486
2024-12,2,-0.11718139122975302
2025-01,3,-0.2932267371442432
2025-02,4,-0.263731903259675
2025-03,5,-0.055055341119388146
2025-04,6,-0.11119838306238883
2025-05,7,-0.0597236097135152
2025-06,8,-0.15215175253604585
2025-07,9,-0.1144759296742972
2025-08,10,0.10718591404697086
2025-09,11,0.023557614444655428
2025-10,12,0.12485718924934375
2025-11,13,0.12556329565523683
2025-12,14,0.11544839318948696
2026-01,15,0.07498020702961306
2026-02,16,0.06315882341045764
2026-03,17,0.45203008084019203
