bucket,traders_2223,traders_2324,traders_2425,exposed,g_pre,g_post
<10k,659746,1482603,1036412,1,80.96996932304113,-35.80345785308226
10k-1L,935569,1601235,1247137,1,53.737558514235204,-24.99246821672883
1L-10L,1494229,2171763,1661303,1,37.392892534571395,-26.793704587261445
10L-1Cr,1505975,1984051,1708985,0,27.57001852031462,-14.924108714513237
1Cr-10Cr,710580,935833,898435,0,27.535550379418634,-4.078268094244225
>10Cr,178891,249799,222202,0,33.38799126660112,-11.70697164157907
