theta,effect
-0.16,0.1708239837126467
-0.1598,0.17002398371264663
-0.1596,0.16922398371264671
-0.15940000000000001,0.1684239837126468
-0.1592,0.16762398371264675
-0.159,0.1668239837126466
-0.1588,0.16602398371264668
-0.1586,0.16522398371264657
-0.1584,0.16442398371264672
-0.1582,0.16362398371264655
-0.158,0.16282398371264664
-0.1578,0.16202398371264654
-0.1576,0.1612239837126467
-0.1574,0.1604239837126466
-0.1572,0.1596239837126467
-0.157,0.15882398371264678
-0.1568,0.15802398371264653
-0.15660000000000002,0.15722398371264681
-0.1564,0.1564239837126467
-0.1562,0.1556239837126468
-0.156,0.15482398371264663
-0.1558,0.15402398371264667
-0.15560000000000002,0.1532239837126467
-0.1554,0.1524239837126468
-0.1552,0.1516239837126466
-0.155,0.15082398371264658
-0.1548,0.1500239837126466
-0.15460000000000002,0.14922398371264675
-0.1544,0.14842398371264678
-0.1542,0.14762398371264668
-0.154,0.14682398371264657
-0.1538,0.14602398371264672
-0.15360000000000001,0.1452239837126466
-0.1534,0.14442398371264678
-0.1532,0.14362398371264667
-0.153,0.14282398371264657
-0.1528,0.1420239837126467
-0.1526,0.1412239837126466
-0.1524,0.14042398371264678
-0.1522,0.13962398371264667
-0.152,0.13882398371264656
-0.1518,0.1380239837126466
-0.1516,0.13722398371264674
-0.1514,0.13642398371264677
-0.1512,0.13562398371264672
-0.151,0.13482398371264656
-0.1508,0.13402398371264665
-0.1506,0.13322398371264668
-0.1504,0.1324239837126467
-0.1502,0.13162398371264653
-0.15,0.1308239837126466
-0.1498,0.1300239837126465
-0.1496,0.1292239837126468
-0.1494,0.12842398371264657
-0.1492,0.12762398371264666
-0.149,0.12682398371264675
-0.14880000000000002,0.12602398371264664
-0.1486,0.12522398371264679
-0.1484,0.1244239837126467
-0.1482,0.12362398371264678
-0.148,0.1228239837126466
-0.14780000000000001,0.12202398371264676
-0.1476,0.12122398371264666
-0.1474,0.12042398371264675
-0.1472,0.11962398371264658
-0.147,0.11882398371264655
-0.1468,0.11802398371264664
-0.1466,0.11722398371264672
-0.1464,0.11642398371264662
-0.1462,0.11562398371264664
-0.146,0.11482398371264654
-0.1458,0.11402398371264669
-0.1456,0.1132239837126466
-0.1454,0.11242398371264674
-0.1452,0.11162398371264663
-0.145,0.11082398371264654
-0.1448,0.11002398371264681
-0.1446,0.10922398371264659
-0.1444,0.10842398371264673
-0.1442,0.10762398371264663
-0.14400000000000002,0.10682398371264686
-0.1438,0.10602398371264668
-0.1436,0.10522398371264671
-0.1434,0.10442398371264673
-0.1432,0.1036239837126467
-0.14300000000000002,0.10282398371264666
-0.1428,0.10202398371264662
-0.1426,0.10122398371264664
-0.1424,0.10042398371264667
-0.1422,0.0996239837126465
-0.14200000000000002,0.09882398371264671
-0.1418,0.09802398371264655
-0.1416,0.09722398371264676
-0.1414,0.09642398371264653
-0.1412,0.09562398371264662
-0.14100000000000001,0.0948239837126467
-0.1408,0.09402398371264661
-0.1406,0.09322398371264676
-0.1404,0.09242398371264667
-0.1402,0.09162398371264675
-0.14,0.0908239837126467
